sampling_round,collector,time,date,AM_PM,temperature,wind_max,wind_avg,cloud_cover,block,G,treatment,group,flower_genus,flower_species,notes,unique_ID,sex,group_edit,group_analysis,plot,pollinator_group
3,LK,11:00,8/31/18,AM,22.9,6.4,2.6,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_2087,,Andrena,Andrena,BH,Native bee
3,LK,11:00,8/31/18,AM,22.9,6.4,2.6,10,2,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_2088,,Andrena,Andrena,BH,Native bee
1,SG,11:14,7/25/18,AM,25.7,2.7,1.7,,2,9,successional,Andrena rudbeckia,Ratibida,pinnata,,GLBRC_p_0340,,Andrena,Andrena,BI,Native bee
1,SG,11:14,7/25/18,AM,25.7,2.7,1.7,,2,9,successional,Andrena rudbeckia,Ratibida,pinnata,,GLBRC_p_0341,,Andrena,Andrena,BI,Native bee
1,SG,11:14,7/25/18,AM,25.7,2.7,1.7,,2,9,successional,Andrena rudbeckia,Ratibida,pinnata,,GLBRC_p_0342,,Andrena,Andrena,BI,Native bee
1,SG,11:14,7/25/18,AM,25.7,2.7,1.7,,2,9,successional,Andrena rudbeckia,Ratibida,pinnata,,GLBRC_p_0343,,Andrena,Andrena,BI,Native bee
1,SG,14:07,7/25/18,AM,27.7,6.8,4,,2,9,successional,Andrena rudbeckia,Ratibida,pinnata,,GLBRC_p_0432,,Andrena,Andrena,BI,Native bee
1,SG,14:07,7/25/18,AM,27.7,6.8,4,,2,9,successional,Andrena rudbeckia,Ratibida,pinnata,,GLBRC_p_0433,,Andrena,Andrena,BI,Native bee
1,SG,14:07,7/25/18,AM,27.7,6.8,4,,2,9,successional,Andrena rudbeckia,Ratibida,pinnata,,GLBRC_p_0434,,Andrena,Andrena,BI,Native bee
3,LK,10:46,8/31/18,AM,23.4,4.8,3,5,2,9,successional,Andrena rudbeckia,unknown,unknown,10:51 photo mayapple leaves,GLBRC_p_1909,,Andrena,Andrena,BI,Native bee
3,LK,10:46,8/31/18,AM,23.4,4.8,3,5,2,9,successional,Andrena rudbeckia,unknown,unknown,10:51 photo mayapple leaves,GLBRC_p_1910,,Andrena,Andrena,BI,Native bee
1,SG,10:40,7/25/18,AM,24.4,1.3,0,,2,10,prairie,Andrena rudbeckia,Ratibida,pinnata,,GLBRC_p_0291,,Andrena,Andrena,BJ,Native bee
3,LK,13:56,8/31/18,PM,26.6,3.8,2.4,10,2,10,prairie,Andrena rudbeckia,Solidago,,,GLBRC_p_1282,,Andrena,Andrena,BJ,Native bee
3,LK,13:56,8/31/18,PM,26.6,3.8,2.4,10,2,10,prairie,Andrena rudbeckia,Solidago,,,GLBRC_p_1283,,Andrena,Andrena,BJ,Native bee
1,LK,14:06,7/25/18,PM,27.4,11.6,8.1,30,3,5,switchgrass,Andrena rudbeckia,Ratibida,pinnata,,GLBRC_p_0617,,Andrena,Andrena,CE,Native bee
4,LK,13:35,9/17/18,PM,31.2,3.3,1.9,5,3,8,poplar,Andrena rudbeckia,Solidago,graminifolia,,GLBRC_p_0776,,Andrena,Andrena,CH,Native bee
4,LK,13:35,9/17/18,PM,31.2,3.3,1.9,5,3,8,poplar,Andrena rudbeckia,Solidago,graminifolia,,GLBRC_p_0777,,Andrena,Andrena,CH,Native bee
2,LK,13:46,8/15/18,PM,28.6,4.4,2,90,3,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_5708,,Andrena,Andrena,CH,Native bee
1,LK,11:09,7/25/18,AM,26.5,8.6,2.4,10,3,9,successional,Andrena rudbeckia,Ratibida,pinnata,,GLBRC_p_0521,,Andrena,Andrena,CI,Native bee
1,LK,11:09,7/25/18,AM,26.5,8.6,2.4,10,3,9,successional,Andrena rudbeckia,Ratibida,pinnata,,GLBRC_p_0522,,Andrena,Andrena,CI,Native bee
1,LK,11:09,7/25/18,AM,26.5,8.6,2.4,10,3,9,successional,Andrena rudbeckia,Ratibida,pinnata,,GLBRC_p_0523,,Andrena,Andrena,CI,Native bee
1,LK,11:09,7/25/18,AM,26.5,8.6,2.4,10,3,9,successional,Andrena rudbeckia,Ratibida,pinnata,,GLBRC_p_0524,,Andrena,Andrena,CI,Native bee
1,LK,13:18,7/25/18,PM,28,13.6,7.2,40,3,9,successional,Andrena rudbeckia,Ratibida,pinnata,,GLBRC_p_0728,,Andrena,Andrena,CI,Native bee
1,LK,13:18,7/25/18,PM,28,13.6,7.2,40,3,9,successional,Andrena rudbeckia,Ratibida,pinnata,,GLBRC_p_0729,,Andrena,Andrena,CI,Native bee
2,LK,11:14,8/15/18,AM,27,4.3,3.1,27,3,10,prairie,Andrena rudbeckia,Silphium,perfoliatum,,GLBRC_p_5300,,Andrena,Andrena,CJ,Native bee
1,SG,10:14,7/19/18,AM,23.3,6.5,3.4,,4,5,switchgrass,Andrena rudbeckia,Ratibida,pinnata,,GLBRC_p_0085,f,Andrena,Andrena,DE,Native bee
4,LK,11:50,9/17/18,AM,28.5,1,0,5,4,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_0950,,Andrena,Andrena,DH,Native bee
4,LK,11:50,9/17/18,AM,28.5,1,0,5,4,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_0951,,Andrena,Andrena,DH,Native bee
3,LK,15:02,8/31/18,PM,28.3,3.1,1.7,5,4,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1194,,Andrena,Andrena,DH,Native bee
3,LK,15:02,8/31/18,PM,28.3,3.1,1.7,5,4,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1195,,Andrena,Andrena,DH,Native bee
3,LK,15:02,8/31/18,PM,28.3,3.1,1.7,5,4,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1196,,Andrena,Andrena,DH,Native bee
3,LK,15:02,8/31/18,PM,28.3,3.1,1.7,5,4,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1197,,Andrena,Andrena,DH,Native bee
3,LK,15:02,8/31/18,PM,28.3,3.1,1.7,5,4,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1198,,Andrena,Andrena,DH,Native bee
3,LK,15:02,8/31/18,PM,28.3,3.1,1.7,5,4,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1199,,Andrena,Andrena,DH,Native bee
3,LK,15:02,8/31/18,PM,28.3,3.1,1.7,5,4,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1200,,Andrena,Andrena,DH,Native bee
3,LK,11:35,8/31/18,AM,24.5,2.7,1.5,10,4,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1816,,Andrena,Andrena,DH,Native bee
3,LK,11:35,8/31/18,AM,24.5,2.7,1.5,10,4,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1817,,Andrena,Andrena,DH,Native bee
3,LK,11:35,8/31/18,AM,24.5,2.7,1.5,10,4,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1818,,Andrena,Andrena,DH,Native bee
3,LK,11:35,8/31/18,AM,24.5,2.7,1.5,10,4,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1819,,Andrena,Andrena,DH,Native bee
3,LK,11:35,8/31/18,AM,24.5,2.7,1.5,10,4,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1820,,Andrena,Andrena,DH,Native bee
3,LK,11:35,8/31/18,AM,24.5,2.7,1.5,10,4,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1821,,Andrena,Andrena,DH,Native bee
3,LK,11:35,8/31/18,AM,24.5,2.7,1.5,10,4,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1822,,Andrena,Andrena,DH,Native bee
3,LK,11:35,8/31/18,AM,24.5,2.7,1.5,10,4,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1823,,Andrena,Andrena,DH,Native bee
3,LK,11:35,8/31/18,AM,24.5,2.7,1.5,10,4,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1824,,Andrena,Andrena,DH,Native bee
3,LK,11:35,8/31/18,AM,24.5,2.7,1.5,10,4,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1825,,Andrena,Andrena,DH,Native bee
3,LK,11:35,8/31/18,AM,24.5,2.7,1.5,10,4,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1826,,Andrena,Andrena,DH,Native bee
3,LK,11:35,8/31/18,AM,24.5,2.7,1.5,10,4,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1827,,Andrena,Andrena,DH,Native bee
3,LK,11:35,8/31/18,AM,24.5,2.7,1.5,10,4,8,poplar,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_1828,,Andrena,Andrena,DH,Native bee
3,LK,11:35,8/31/18,AM,24.5,2.7,1.5,10,4,8,poplar,Andrena rudbeckia,Solidago,graminifolia,,GLBRC_p_1830,,Andrena,Andrena,DH,Native bee
3,LK,11:35,8/31/18,AM,24.5,2.7,1.5,10,4,8,poplar,Andrena rudbeckia,Solidago,graminifolia,,GLBRC_p_1831,,Andrena,Andrena,DH,Native bee
3,LK,11:35,8/31/18,AM,24.5,2.7,1.5,10,4,8,poplar,Andrena rudbeckia,Solidago,graminifolia,,GLBRC_p_1832,,Andrena,Andrena,DH,Native bee
3,LK,11:35,8/31/18,AM,24.5,2.7,1.5,10,4,8,poplar,Andrena rudbeckia,Solidago,graminifolia,,GLBRC_p_1833,,Andrena,Andrena,DH,Native bee
3,LK,11:35,8/31/18,AM,24.5,2.7,1.5,10,4,8,poplar,Andrena rudbeckia,Solidago,graminifolia,,GLBRC_p_1834,,Andrena,Andrena,DH,Native bee
3,LK,11:35,8/31/18,AM,24.5,2.7,1.5,10,4,8,poplar,Andrena rudbeckia,Solidago,graminifolia,solidago 11:46 photo dark green thin leaves,GLBRC_p_1839,,Andrena,Andrena,DH,Native bee
1,SG,14:05,7/19/18,PM,27.4,9.6,6,,4,9,successional,Andrena rudbeckia,Ratibida,pinnata,,GLBRC_p_0025,f,Andrena,Andrena,DI,Native bee
1,SG,14:05,7/19/18,PM,27.4,9.6,6,,4,9,successional,Andrena rudbeckia,Ratibida,pinnata,,GLBRC_p_0026,f,Andrena,Andrena,DI,Native bee
1,SG,11:24,7/19/18,AM,24.7,10.9,5.6,,4,9,successional,Andrena rudbeckia,Ratibida,pinnata,,GLBRC_p_0146,,Andrena,Andrena,DI,Native bee
4,LK,15:15,9/17/18,PM,30.7,2.6,1,15,4,9,successional,Andrena rudbeckia,thin Symph,,,GLBRC_p_0865,,Andrena,Andrena,DI,Native bee
4,LK,15:15,9/17/18,PM,30.7,2.6,1,15,4,9,successional,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_0876,,Andrena,Andrena,DI,Native bee
4,LK,15:15,9/17/18,PM,30.7,2.6,1,15,4,9,successional,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_0877,,Andrena,Andrena,DI,Native bee
4,LK,15:15,9/17/18,PM,30.7,2.6,1,15,4,9,successional,Andrena rudbeckia,Solidago,canadensis,,GLBRC_p_0878,,Andrena,Andrena,DI,Native bee
2,LK,10:34,8/14/18,AM,25.2,6.9,2.7,10,4,9,successional,Andrena rudbeckia,Ratibida,pinnata,photo 10:50,GLBRC_p_6132,,Andrena,Andrena,DI,Native bee
2,LK,13:36,8/14/18,PM,30.7,3.8,1.7,60,4,9,successional,Andrena rudbeckia,Ratibida,pinnata,,GLBRC_p_6667,,Andrena,Andrena,DI,Native bee
1,SG,14:25,7/19/18,PM,29.7,14.7,7.1,,4,10,prairie,Andrena rudbeckia,Ratibida,pinnata,,GLBRC_p_0058,,Andrena,Andrena,DJ,Native bee
2,LK,10:16,8/14/18,AM,23.9,4,2,10,4,10,prairie,Andrena rudbeckia,Silphium,perfoliatum,,GLBRC_p_6014,,Andrena,Andrena,DJ,Native bee
3,SG,14:10,9/3/18,PM,30.3,3,1.5,95,5,8,poplar,Andrena,Solidago,canadensis,,GLBRC_p_11447,m,Andrena,Andrena,EH,Native bee
4,SG,11:10,9/17/18,AM,27.2,2.8,1.7,5,1,5,switchgrass,Apis mellifera,Solidago,canadensis,,GLBRC_p_7815,,Apis mellifera,Apis,AE,Honeybee
4,SG,11:10,9/17/18,AM,27.2,2.8,1.7,5,1,5,switchgrass,Apis mellifera,Solidago,canadensis,,GLBRC_p_7816,,Apis mellifera,Apis,AE,Honeybee
4,SG,11:10,9/17/18,AM,27.2,2.8,1.7,5,1,5,switchgrass,Apis mellifera,wood blue aster,,,GLBRC_p_7817,,Apis mellifera,Apis,AE,Honeybee
3,SG,10:58,9/2/18,AM,27,5.2,2.7,90,1,5,switchgrass,Apis mellifera,Solidago,canadensis,,GLBRC_p_8153,,Apis mellifera,Apis,AE,Honeybee
3,SG,13:19,9/2/18,PM,29.2,3.2,1.9,80,1,5,switchgrass,Apis mellifera,Solidago,canadensis,,GLBRC_p_8239,,Apis mellifera,Apis,AE,Honeybee
3,SG,13:19,9/2/18,PM,29.2,3.2,1.9,80,1,5,switchgrass,Apis mellifera,Solidago,canadensis,,GLBRC_p_8240,,Apis mellifera,Apis,AE,Honeybee
1,LK,11:29,7/19/18,AM,26.6,6.4,2.9,,1,8,poplar,Apis mellifera,Silphium,perfoliatum,,GLBRC_p_0180,,Apis mellifera,Apis,AH,Honeybee
1,LK,11:29,7/19/18,AM,26.6,6.4,2.9,,1,8,poplar,Apis mellifera,Silphium,perfoliatum,,GLBRC_p_0181,,Apis mellifera,Apis,AH,Honeybee
1,LK,11:29,7/19/18,AM,26.6,6.4,2.9,,1,8,poplar,Apis mellifera,Silphium,perfoliatum,,GLBRC_p_0182,,Apis mellifera,Apis,AH,Honeybee
1,LK,11:29,7/19/18,AM,26.6,6.4,2.9,,1,8,poplar,Apis mellifera,Silphium,perfoliatum,,GLBRC_p_0183,,Apis mellifera,Apis,AH,Honeybee
1,LK,11:29,7/19/18,AM,26.6,6.4,2.9,,1,8,poplar,Apis mellifera,Silphium,perfoliatum,,GLBRC_p_0184,,Apis mellifera,Apis,AH,Honeybee
1,LK,11:29,7/19/18,AM,26.6,6.4,2.9,,1,8,poplar,Apis mellifera,Silphium,perfoliatum,,GLBRC_p_0185,,Apis mellifera,Apis,AH,Honeybee
1,LK,11:29,7/19/18,AM,26.6,6.4,2.9,,1,8,poplar,Apis mellifera,Cirsium,sp.,,GLBRC_p_0193,,Apis mellifera,Apis,AH,Honeybee
1,LK,11:29,7/19/18,AM,26.6,6.4,2.9,,1,8,poplar,Apis mellifera,Cirsium,sp.,,GLBRC_p_0194,,Apis mellifera,Apis,AH,Honeybee
1,LK,11:29,7/19/18,AM,26.6,6.4,2.9,,1,8,poplar,Apis mellifera,Cirsium,sp.,,GLBRC_p_0195,,Apis mellifera,Apis,AH,Honeybee
1,LK,11:29,7/19/18,AM,26.6,6.4,2.9,,1,8,poplar,Apis mellifera,Cirsium,sp.,,GLBRC_p_0196,,Apis mellifera,Apis,AH,Honeybee
1,LK,11:29,7/19/18,AM,26.6,6.4,2.9,,1,8,poplar,Apis mellifera,Cirsium,sp.,,GLBRC_p_0197,,Apis mellifera,Apis,AH,Honeybee
1,LK,13:15,7/19/18,PM,28.6,8.6,5.2,50,1,8,poplar,Apis mellifera,Silphium,perfoliatum,,GLBRC_p_0220,,Apis mellifera,Apis,AH,Honeybee
1,LK,13:15,7/19/18,PM,28.6,8.6,5.2,50,1,8,poplar,Apis mellifera,Silphium,perfoliatum,,GLBRC_p_0221,,Apis mellifera,Apis,AH,Honeybee
1,LK,13:15,7/19/18,PM,28.6,8.6,5.2,50,1,8,poplar,Apis mellifera,Silphium,perfoliatum,,GLBRC_p_0222,,Apis mellifera,Apis,AH,Honeybee
1,LK,13:15,7/19/18,PM,28.6,8.6,5.2,50,1,8,poplar,Apis mellifera,Silphium,perfoliatum,,GLBRC_p_0223,,Apis mellifera,Apis,AH,Honeybee
1,LK,13:15,7/19/18,PM,28.6,8.6,5.2,50,1,8,poplar,Apis mellifera,Silphium,perfoliatum,,GLBRC_p_0224,,Apis mellifera,Apis,AH,Honeybee
1,LK,13:15,7/19/18,PM,28.6,8.6,5.2,50,1,8,poplar,Apis mellifera,Cirsium,sp.,,GLBRC_p_0228,,Apis mellifera,Apis,AH,Honeybee
1,LK,13:15,7/19/18,PM,28.6,8.6,5.2,50,1,8,poplar,Apis mellifera,Monarda,fistulosa,,GLBRC_p_0230,,Apis mellifera,Apis,AH,Honeybee
2,LK,13:40,8/18/18,PM,30.9,6.1,4.2,85,1,8,poplar,Apis mellifera,Silphium,perfoliatum,,GLBRC_p_2758,,Apis mellifera,Apis,AH,Honeybee
2,LK,13:40,8/18/18,PM,30.9,6.1,4.2,85,1,8,poplar,Apis mellifera,Silphium,perfoliatum,,GLBRC_p_2759,,Apis mellifera,Apis,AH,Honeybee
4,SG,15:04,9/17/18,PM,32.7,2.1,1.2,50,1,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_7607,,Apis mellifera,Apis,AH,Honeybee
4,SG,15:04,9/17/18,PM,32.7,2.1,1.2,50,1,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_7608,,Apis mellifera,Apis,AH,Honeybee
4,SG,15:04,9/17/18,PM,32.7,2.1,1.2,50,1,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_7609,,Apis mellifera,Apis,AH,Honeybee
4,SG,15:04,9/17/18,PM,32.7,2.1,1.2,50,1,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_7610,,Apis mellifera,Apis,AH,Honeybee
4,SG,15:04,9/17/18,PM,32.7,2.1,1.2,50,1,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_7611,,Apis mellifera,Apis,AH,Honeybee
4,SG,15:04,9/17/18,PM,32.7,2.1,1.2,50,1,8,poplar,Apis mellifera,Solidago,canadensis,,GLBRC_p_7612,,Apis mellifera,Apis,AH,Honeybee
4,SG,15:04,9/17/18,PM,32.7,2.1,1.2,50,1,8,poplar,Apis mellifera,aster sp2,,,GLBRC_p_7616,,Apis mellifera,Apis,AH,Honeybee
4,SG,15:04,9/17/18,PM,32.7,2.1,1.2,50,1,8,poplar,Apis mellifera,aster sp2,,,GLBRC_p_7617,,Apis mellifera,Apis,AH,Honeybee
4,SG,15:04,9/17/18,PM,32.7,2.1,1.2,50,1,8,poplar,Apis mellifera,aster sp2,,,GLBRC_p_7618,,Apis mellifera,Apis,AH,Honeybee
4,SG,15:04,9/17/18,PM,32.7,2.1,1.2,50,1,8,poplar,Apis mellifera,aster sp2,,,GLBRC_p_7619,,Apis mellifera,Apis,AH,Honeybee
