sampling_round,collector,time,date,cloud cover,block,G,plot,treatment,flower_genus,flower_species,flower,number_plants,avg_1,avg_2,avg_3,avg_4,avg_5,avg_6,avg_7,avg_8,avg_9,avg_10,notes,floral_resources,avg_flowers
1,JW,14:55,7/18/18,10,1,9,AI,successional,Solanum,carolinense,Solanum_carolinense,26,2,2,1,2,3,5,3,2,3,2,,65,
2,AB,9:10,8/13/18,5,1,9,AI,successional,Daucus,carota,Daucus_carota,114,37,45,43,42,44,22,23,42,19,25,,3898.8,
2,AB,9:10,8/13/18,5,1,9,AI,successional,Silphium,perfoliatum,Silphium_perfoliatum,91,1,1,1,1,1,1,1,1,1,1,,91,
3,LK,15:40,8/31/18,0,1,9,AI,successional,Daucus,carota,Daucus_carota,3,20,25,47,,,,,,,,,92,
3,LK,15:40,8/31/18,0,1,9,AI,successional,Hypericum,perforatum,Hypericum_perforatum,1,3,,,,,,,,,,,3,
3,LK,15:40,8/31/18,0,1,9,AI,successional,Silphium,perfoliatum,Silphium_perfoliatum,2,3,1,,,,,,,,,,4,
3,LK,15:40,8/31/18,0,1,9,AI,successional,Solidago,canadensis,Solidago_canadensis,188,156,80,29,37,99,24,13,33,48,35,,10415.2,
4,IR,9:30,9/19/18,100,1,9,AI,successional,Daucus,carota,Daucus_carota,1,16,60,,,,,,,,,,38,
4,IR,9:30,9/19/18,100,1,9,AI,successional,grass leafed Symph,,Symph_grass,20,56,4,10,16,55,10,12,8,6,12,,378,
4,IR,9:30,9/19/18,100,1,9,AI,successional,med leafed Symph,,Symphotrichum_novaeangliae,1,6,,,,,,,,,,,6,
4,IR,9:30,9/19/18,100,1,9,AI,successional,Plantago,lanceolata,Plantago_lanceolata,2,1,1,,,,,,,,,,2,
4,IR,9:30,9/19/18,100,1,9,AI,successional,Silene,latifolia,Silene_latifolia,2,2,2,,,,,,,,,,4,
4,IR,9:30,9/19/18,100,1,9,AI,successional,Solidago,canadensis,Solidago_canadensis,448,197,784,15,57,32,323,10,153,81,98,,78400,
4,IR,9:30,9/19/18,100,1,9,AI,successional,Symphotrichum,novae-angliae,Symphotrichum_novaeangliae,31,10,4,2,5,7,5,2,8,1,4,,148.8,
1,LK,14:28,7/18/18,2,1,10,AJ,prairie,Daucus,carota,Daucus_carota,15,29,36,39,40,44,31,14,23,32,35,,484.5,
1,LK,14:28,7/18/18,2,1,10,AJ,prairie,Desmodium,sp.,Desmodium,133,3,6,1,17,14,13,6,1,6,4,,944.3,
1,LK,14:28,7/18/18,2,1,10,AJ,prairie,Monarda,fistulosa,Monarda_fistulosa,123,6,12,11,13,6,4,7,13,16,12,,1230,
1,LK,14:28,7/18/18,2,1,10,AJ,prairie,Ratibida,pinnata,Ratibida_pinnata,51,1,1,1,1,1,1,1,1,1,1,,51,
1,LK,14:28,7/18/18,2,1,10,AJ,prairie,Rudbeckia,hirta,Rudbeckia_hirta,19,1,1,1,1,1,1,1,1,1,1,,19,
1,LK,14:28,7/18/18,2,1,10,AJ,prairie,Silphium,perfoliatum,Silphium_perfoliatum,116,1,1,1,1,1,1,1,1,1,1,,116,
1,LK,14:28,7/18/18,2,1,10,AJ,prairie,Trifolium,pratense,Trifolium_pratense,14,1,1,1,1,1,1,1,1,1,1,,14,
1,LK,14:28,7/18/18,2,1,10,AJ,prairie,unknown,unknown,unknown5,6,6,8,7,8,3,5,,,,,"unknown yellow photo 14:37, 1 plant = 1 raceme, 1 flower = 1 flower",37,
1,LK,14:28,7/18/18,2,1,10,AJ,prairie,unknown,unknown,unknown5,17,13,7,6,4,2,3,3,4,9,5,unknown white photo looks just like unknown yellow,95.2,
2,AB,9:10,8/13/18,5,1,10,AJ,prairie,Daucus,carota,Daucus_carota,109,17,24,35,37,22,28,32,33,20,22,,2943,
2,AB,9:10,8/13/18,5,1,10,AJ,prairie,Ratibida,pinnata,Ratibida_pinnata,13,1,1,1,1,1,1,1,1,1,1,,13,
2,AB,9:10,8/13/18,5,1,10,AJ,prairie,Silphium,perfoliatum,Silphium_perfoliatum,284,1,1,1,1,1,1,1,1,1,1,,284,
2,AB,9:10,8/13/18,5,1,10,AJ,prairie,Vicia,americana,Vicia_americana,2,6,6,,,,,,,,,,12,
3,IR,12:55,8/31/18,5,1,10,AJ,prairie,Daucus,carota,Daucus_carota,4,14,24,44,8,,,,,,,,90,
3,IR,12:55,8/31/18,5,1,10,AJ,prairie,Solidago,canadensis,Solidago_canadensis,1,1,,,,,,,,,,,1,
3,IR,12:55,8/31/18,5,1,10,AJ,prairie,Solidago,,Solidago_round,7,1,11,4,19,39,29,1,,,,round leaf solidago,104,
3,IR,12:55,8/31/18,5,1,10,AJ,prairie,Solidago,,Solidago,39,16,14,21,30,48,39,5,18,11,24,"big smooth leaved solidago, flowers as in round leaved solidago, photos from previous",881.4,
4,IR,14:26,9/19/18,35,1,10,AJ,prairie,big flowered solidago,,Solidago_bigflower,29,23,48,33,7,10,101,10,42,21,169,,1345.6,
4,IR,14:26,9/19/18,35,1,10,AJ,prairie,med leafed Symph,,Symphotrichum_novaeangliae,3,2,4,6,,,,,,,,,12,
4,IR,14:26,9/19/18,35,1,10,AJ,prairie,round leafed Solidago,,Solidago_round,5,9,21,3,18,11,,,,,,,62,
4,IR,14:26,9/19/18,35,1,10,AJ,prairie,Solidago,canadensis,Solidago_canadensis,12,99,36,100,42,34,13,70,68,39,8,,610.8,
4,IR,14:26,9/19/18,35,1,10,AJ,prairie,Symphotrichum,novae-angliae,Symphotrichum_novaeangliae,25,1,4,3,5,2,5,7,3,4,5,,97.5,
1,IR,13:05,7/18/18,5,2,5,BE,switchgrass,Daucus,carota,Daucus_carota,29,70,34,80,36,30,70,56,44,33,31,,1403.6,
1,LK,15:25,7/18/18,1,2,5,BE,switchgrass,Daucus,carota,Daucus_carota,2,43,35,45,,,,,,,,,82,
1,IR,13:03,7/18/18,5,2,5,BE,switchgrass,Erigeron,annus,Erigeron,3,8,4,10,,,,,,,,,22,
1,LK,15:25,7/18/18,1,2,5,BE,switchgrass,Erigeron,annus,Erigeron,1,7,,,,,,,,,,,7,
1,IR,13:03,7/18/18,5,2,5,BE,switchgrass,Monarda,fistulosa,Monarda_fistulosa,4,18,17,10,33,,,,,,,,78,
1,LK,15:25,7/18/18,1,2,5,BE,switchgrass,Monarda,fistulosa,Monarda_fistulosa,3,7,17,,,,,,,,,,36,
1,IR,13:05,7/18/18,5,2,5,BE,switchgrass,Ratibida,pinnata,Ratibida_pinnata,14,2,2,3,4,1,3,3,3,2,4,,37.8,
1,LK,15:25,7/18/18,1,2,5,BE,switchgrass,Ratibida,pinnata,Ratibida_pinnata,20,1,1,1,1,1,1,1,1,1,1,,20,
1,IR,13:03,7/18/18,5,2,5,BE,switchgrass,Rudbeckia,hirta,Rudbeckia_hirta,17,1,1,2,1,1,1,1,1,1,1,"numerous senesced, dry, no visible pollen",18.7,
1,LK,15:25,7/18/18,1,2,5,BE,switchgrass,Rudbeckia,hirta,Rudbeckia_hirta,23,1,1,1,1,1,1,1,1,1,1,,23,
2,IR,11:04,8/13/18,1,2,5,BE,switchgrass,Daucus,carota,Daucus_carota,30,192,44,73,22,28,236,40,85,117,63,,2700,
2,IR,11:04,8/13/18,1,2,5,BE,switchgrass,Erigeron,annus,Erigeron,1,7,,,,,,,,,,,7,
2,IR,11:04,8/13/18,1,2,5,BE,switchgrass,Ratibida,pinnata,Ratibida_pinnata,1,1,,,,,,,,,,,1,
2,IR,11:04,8/13/18,1,2,5,BE,switchgrass,Rudbeckia,hirta,Rudbeckia_hirta,1,1,,,,,,,,,,,1,
3,CL,13:18,8/30/18,30,2,5,BE,switchgrass,Daucus,carota,Daucus_carota,6,3,6,1,3,1,1,,,,,,15,
3,CL,13:18,8/30/18,30,2,5,BE,switchgrass,Erigeron,annus,Erigeron,1,16,,,,,,,,,,,16,
3,CL,13:18,8/30/18,30,2,5,BE,switchgrass,Oenothera,biennis,Oenothera_biennis,1,9,,,,,,,,,,,9,
3,CL,13:18,8/30/18,30,2,5,BE,switchgrass,Solidago,canadensis,Solidago_canadensis,170,60,120,15,65,90,12,100,55,95,70,,11594,
4,IR,14:25,9/20/18,40,2,5,BE,switchgrass,Erigeron,annus,Erigeron,1,1,,,,,,,,,,,1,
4,IR,14:25,9/20/18,40,2,5,BE,switchgrass,grass leafed Symph,,Symph_grass,3,5,5,2,,,,,,,,,12,
4,IR,14:25,9/20/18,40,2,5,BE,switchgrass,med leafed Symph,,Symphotrichum_novaeangliae,4,2,2,4,1,,,,,,,,9,
4,IR,14:25,9/20/18,40,2,5,BE,switchgrass,rectangular leafed symph,,Symph_rec,1,1,,,,,,,,,,photos,1,
4,IR,14:25,9/20/18,40,2,5,BE,switchgrass,Solidago,canadensis,Solidago_canadensis,59,30,4,2,21,2,5,35,8,6,7,,708,
1,JW,15:25,7/18/18,10,2,7,BG,native grass,Monarda,fistulosa,Monarda_fistulosa,82,10,16,17,18,8,11,18,5,16,,,1084.222222,
2,IR,10:55,8/13/18,1,2,7,BG,native grass,0,0,,0,,,,,,,,,,,,0,
3,CL,13:36,8/30/18,25,2,7,BG,native grass,Daucus,carota,Daucus_carota,1,2,,,,,,,,,,,2,
3,CL,13:36,8/30/18,25,2,7,BG,native grass,Solidago,canadensis,Solidago_canadensis,13,24,8,1,10,12,155,50,5,13,36,,408.2,
4,IR,13:10,9/20/18,35,2,7,BG,native grass,grass leafed Symph,,Symph_grass,3,13,21,15,,,,,,,,,49,
4,IR,13:10,9/20/18,35,2,7,BG,native grass,Solidago,canadensis,Solidago_canadensis,37,61,5,72,24,4,13,7,9,8,24,,839.9,
4,IR,13:10,9/20/18,35,2,7,BG,native grass,Symphotrichum,novae-angliae,Symphotrichum_novaeangliae,2,3,9,,,,,,,,,,12,
1,IR,11:10,7/18/18,10,2,8,BH,poplar,Cirsium,sp.,Cirsium,1,5,,,,,,,,,,,5,
1,IR,11:10,7/18/18,10,2,8,BH,poplar,Erigeron,annus,Erigeron,2,2,10,,,,,,,,,,12,
1,IR,11:10,7/18/18,10,2,8,BH,poplar,Medicago,lupulina,Medicago_lupulina,1,1,,,,,,,,,,,1,
1,IR,11:10,7/18/18,10,2,8,BH,poplar,Silphium,perfoliatum,Silphium_perfoliatum,16,1,1,1,1,1,1,1,1,1,1,,16,
1,IR,11:10,7/18/18,10,2,8,BH,poplar,Torilis,sp.,Torilis,15,19,27,171,188,214,34,54,33,121,179,,1560,
2,IR,9:12,8/13/18,1,2,8,BH,poplar,Daucus,carota,Daucus_carota,4,123,6,51,43,,,,,,,sub umbel=flower,223,
2,IR,9:12,8/13/18,1,2,8,BH,poplar,Desmodium,sp.,Desmodium,1,3,,,,,,,,,,,3,
2,IR,9:12,8/13/18,1,2,8,BH,poplar,Medicago,lupulina,Medicago_lupulina,3,2,1,1,,,,,,,,,4,
2,IR,9:12,8/13/18,1,2,8,BH,poplar,Silphium,perfoliatum,Silphium_perfoliatum,24,6,8,7,2,4,11,6,1,2,3,,120,
2,IR,9:12,8/13/18,1,2,8,BH,poplar,Solidago,graminifolia,Solidago_graminifolia,1,27,,,,,,,,,,,27,
2,IR,9:12,8/13/18,1,2,8,BH,poplar,Solidago,sp.,Solidago,16,1,1,1,1,16,1,2,1,1,5,"raceme flowered solidago. Raceme=flower, just beginning to flower",48,
2,IR,9:12,8/13/18,1,2,8,BH,poplar,Torilis,sp.,Torilis,11,18,46,84,27,24,1,37,19,95,12,,399.3,
2,IR,9:12,8/13/18,1,2,8,BH,poplar,Trifolium,pratense,Trifolium_pratense,14,2,2,1,1,1,1,2,1,1,1,,18.2,
3,CL,14:15,8/30/18,20,2,8,BH,poplar,Daucus,carota,Daucus_carota,3,3,2,1,,,,,,,,,6,
3,CL,14:15,8/30/18,20,2,8,BH,poplar,Solidago,canadensis,Solidago_canadensis,2349,110,43,45,180,55,195,30,70,25,230,,230906.7,
3,CL,14:15,8/30/18,20,2,8,BH,poplar,Solidago,graminifolia,Solidago_graminifolia,23,8,15,50,55,75,10,8,10,15,25,,623.3,
3,CL,14:15,8/30/18,20,2,8,BH,poplar,Symphotrichum,sp.,Symphotrichum_novaeangliae,3,1,1,1,,,,,,,,,3,
4,IR,9:16,9/20/18,90,2,8,BH,poplar,Daucus,carota,Daucus_carota,3,24,15,5,,,,,,,,,44,
4,IR,9:16,9/20/18,90,2,8,BH,poplar,grass leafed Symph,,Symph_grass,3,20,22,18,,,,,,,,not an obvious distinction between this and med leafed symph,60,
4,IR,9:16,9/20/18,90,2,8,BH,poplar,med leafed Symph,,Symphotrichum_novaeangliae,51,4,4,2,1,7,1,2,2,3,4,not an obvious distinction between this and grass leafed symph,153,
4,IR,9:16,9/20/18,90,2,8,BH,poplar,Solidago,canadensis,Solidago_canadensis,320,1,3,24,10,15,9,3,67,25,4,,5152,
4,IR,9:16,9/20/18,90,2,8,BH,poplar,Solidago,graminifolia,Solidago_graminifolia,9,4,12,2,3,5,13,14,5,2,,,60,
4,IR,9:16,9/20/18,90,2,8,BH,poplar,Symphotrichum,novae-angliae,Symphotrichum_novaeangliae,179,4,1,2,4,5,9,1,1,3,3,,590.7,
4,IR,9:16,9/20/18,90,2,8,BH,poplar,Trifolium,pratense,Trifolium_pratense,3,1,1,1,,,,,,,,,3,
1,IR,13:15,7/18/18,5,2,9,BI,successional,Centaurea,maculosa,Centaurea_maculosa,19,10,4,4,1,5,10,7,7,7,28,,157.7,
1,IR,13:15,7/18/18,5,2,9,BI,successional,Daucus,carota,Daucus_carota,157,48,38,32,51,78,32,26,78,60,46,,7677.3,
1,IR,13:15,7/18/18,5,2,9,BI,successional,Dianthus,armeria,Dianthus_armeria,31,3,2,1,1,2,1,1,1,4,1,,52.7,
1,IR,13:15,7/18/18,5,2,9,BI,successional,Erigeron,annus,Erigeron,7,3,14,15,16,13,51,28,,,,,140,
1,IR,13:15,7/18/18,5,2,9,BI,successional,Erigeron,strigosus,Erigeron,85,18,8,5,5,6,6,5,2,8,13,,646,
1,IR,13:15,7/18/18,5,2,9,BI,successional,Geum,canadense,Geum_canadense,1,1,,,,,,,,,,,1,
1,IR,13:15,7/18/18,5,2,9,BI,successional,Monarda,fistulosa,Monarda_fistulosa,70,10,17,21,134,166,305,120,181,8,19,,6867,
1,IR,13:15,7/18/18,5,2,9,BI,successional,Ratibida,pinnata,Ratibida_pinnata,373,1,3,1,2,3,3,1,3,1,2,,746,
1,IR,13:15,7/18/18,5,2,9,BI,successional,Verbena,urticifolia,Verbena_urticifolia,8,71,140,102,64,149,84,81,139,,,,830,
2,IR,11:36,8/13/18,1,2,9,BI,successional,Centaurea,maculosa,Centaurea_maculosa,77,1,1,1,1,1,1,1,1,1,1,,77,
2,IR,11:36,8/13/18,1,2,9,BI,successional,Daucus,carota,Daucus_carota,189,20,448,55,160,256,20,90,31,42,98,,23058,
2,IR,11:36,8/13/18,1,2,9,BI,successional,Dianthus,armeria,Dianthus_armeria,56,2,4,1,4,1,1,1,2,1,2,,106.4,
2,IR,11:36,8/13/18,1,2,9,BI,successional,Erigeron,annus,Erigeron,6,37,4,1,2,9,12,,,,,,65,
2,IR,11:36,8/13/18,1,2,9,BI,successional,Ratibida,pinnata,Ratibida_pinnata,8,1,1,1,1,1,1,1,1,,,,8,
2,IR,11:36,8/13/18,1,2,9,BI,successional,Verbena,urticifolia,Verbena_urticifolia,3,42,18,24,,,,,,,,,84,
3,CL,12:35,8/30/18,20,2,9,BI,successional,Centaurea,maculosa,Centaurea_maculosa,13,2,1,1,2,3,3,3,3,5,1,,31.2,
3,CL,12:35,8/30/18,20,2,9,BI,successional,Daucus,carota,Daucus_carota,55,3,3,1,12,5,7,4,4,3,6,,264,
3,CL,12:35,8/30/18,20,2,9,BI,successional,Dianthus,armeria,Dianthus_armeria,16,1,2,2,4,3,2,3,2,1,1,,33.6,
3,CL,12:35,8/30/18,20,2,9,BI,successional,Erigeron,annus,Erigeron,2,17,17,,,,,,,,,,34,
3,CL,12:35,8/30/18,20,2,9,BI,successional,ragweed,,ragweed,110,13,12,53,17,16,18,5,6,62,9,,2321,
3,CL,12:35,8/30/18,20,2,9,BI,successional,Ratibida,pinnata,Ratibida_pinnata,26,2,2,1,1,1,5,4,1,1,1,,49.4,
4,IR,13:40,9/20/18,35,2,9,BI,successional,Centaurea,maculosa,Centaurea_maculosa,44,1,1,1,1,1,1,1,1,1,1,flower=plant,44,
4,IR,13:40,9/20/18,35,2,9,BI,successional,Daucus,carota,Daucus_carota,9,22,6,38,9,6,21,17,6,13,,,138,
4,IR,13:40,9/20/18,35,2,9,BI,successional,Dianthus,armeria,Dianthus_armeria,3,1,1,1,,,,,,,,,3,
4,IR,13:40,9/20/18,35,2,9,BI,successional,Erigeron,annus,Erigeron,2,6,6,,,,,,,,,,12,
4,IR,13:40,9/20/18,35,2,9,BI,successional,Erigeron,canadensis,Erigeron,1,4,,,,,,,,,,,4,
4,IR,13:40,9/20/18,35,2,9,BI,successional,Ratibida,pinnata,Ratibida_pinnata,2,1,2,,,,,,,,,,3,
4,IR,13:40,9/20/18,35,2,9,BI,successional,Solidago,canadensis,Solidago_canadensis,1,197,,,,,,,,,,,197,
4,IR,13:40,9/20/18,35,2,9,BI,successional,Symphotrichum,novae-angliae,Symphotrichum_novaeangliae,24,1,3,4,1,5,2,2,6,2,1,,64.8,
4,IR,13:40,9/20/18,35,2,9,BI,successional,unknown,unknown,unknown2,1,1,,,,,,,,,,"tiny hieracium, photos",1,
1,IR,9:30,7/18/18,0,2,10,BJ,prairie,Daucus,carota,Daucus_carota,5,70,46,30,30,34,,,,,,,210,
1,IR,9:30,7/18/18,0,2,10,BJ,prairie,Desmodium,canadense,Desmodium,782,22,30,29,46,19,70,63,42,65,12,,31123.6,
1,IR,9:30,7/18/18,0,2,10,BJ,prairie,Erigeron,annus,Erigeron,1,2,,,,,,,,,,,2,
1,IR,9:30,7/18/18,0,2,10,BJ,prairie,Monarda,fistulosa,Monarda_fistulosa,76,20,16,9,13,7,12,13,10,9,9,,896.8,
1,IR,9:30,7/18/18,0,2,10,BJ,prairie,Ratibida,pinnata,Ratibida_pinnata,6,1,1,1,1,1,1,1,,,,,6,
1,IR,9:30,7/18/18,0,2,10,BJ,prairie,Rudbeckia,hirta,Rudbeckia_hirta,9,1,1,1,1,1,1,1,1,1,,,9,
1,IR,9:30,7/18/18,0,2,10,BJ,prairie,Silphium,perfoliatum,Silphium_perfoliatum,120,1,1,1,1,1,1,1,1,1,1,,120,
2,IR,9:59,8/13/18,1,2,10,BJ,prairie,Daucus,carota,Daucus_carota,21,115,26,53,10,31,102,50,29,127,58,,1262.1,
